time_s,ers_H,ers_M,ers_Lharvest,ers_Lderate,most_likely_ers,most_likely_override,most_likely_tyre,true_SOC,true_temperature_C,true_voltage_V,true_current_A,true_ers,brier
31.0,0.1138143746227748,0.8371702383433178,0.0186389191007164,0.0303764679331908,M,spent,moderate,0.376641514878028,340.493906987065,993.011713669165,109.319199816389,Lharvest,1.6778000207464874
32.0,0.116558870935946,0.8340236005453406,0.0214599332948723,0.0279575952238409,M,spent,moderate,0.379027057032925,340.59192761774,876.146700663628,0.0,M,0.042376291437515666
33.0,0.1188578270371747,0.831213309438531,0.0231499322055722,0.026778931318722,M,spent,moderate,0.379019326718877,340.577243232555,866.337877070733,-9.1645642466262,M,0.04386916048238744
34.0,0.0956610113131349,0.8357230869478874,0.0298004542809372,0.0388154474580403,M,spent,moderate,0.37371908274006,340.864579178347,754.519693178403,-113.160741147926,M,0.03853263928410119
35.0,0.0707107056293761,0.8336228096748568,0.0380869169102953,0.0575795677854716,M,available,moderate,0.366773155421422,341.390738484241,740.942427631512,-125.186670947416,M,0.03744739321718666
36.0,0.0515396748641842,0.8191211384019407,0.0469316799917554,0.0824075067421195,M,available,moderate,0.36037193129173,341.816159335226,754.942702848696,-111.55231529719,M,0.04436708041241672
37.0,0.0386970008177661,0.7916474050437218,0.0558989421983207,0.1137566519401913,M,available,moderate,0.3544292023327,342.199605085053,744.265815338559,-120.946595345525,M,0.06097352929683815
38.0,0.0319245317903039,0.7590873684801375,0.0634113419417823,0.1455767577877762,M,available,moderate,0.348723886413453,342.535972108912,833.827420600586,-37.185204529029,M,0.08427166245071369
39.0,0.0282840412430412,0.7242241958155176,0.0697555199198995,0.1777362430215417,M,available,moderate,0.350622889363485,342.630924010274,873.983439253923,0.0,M,0.11330828580534409
40.0,0.0262351842637944,0.6885438949345534,0.0751181420687072,0.2101027787329449,M,available,moderate,0.349962869046075,342.629012542345,825.025459223819,-45.4631065206709,M,0.14747910317505306
41.0,0.0237809545582672,0.6431221610606385,0.0807607568679172,0.2523361275131769,M,available,moderate,0.345895733628433,342.797509226625,758.408320599082,-107.023373996487,M,0.19812314682395635
42.0,0.0214336581833812,0.5891778105484794,0.0859721063097738,0.3034164249583654,M,available,moderate,0.339769673055898,343.169176939313,756.190744233645,-108.532301778273,M,0.26868700304671755
43.0,0.0193281860474359,0.5284896709202612,0.0901750440730651,0.3620070989592376,M,available,moderate,0.334627178035196,343.444148234041,806.689408324403,-61.2557659961501,M,0.36187624747523034
44.0,0.017960313078713,0.4690383563997871,0.0927623815198611,0.4202389490016388,M,available,moderate,0.333588765940775,343.453665305147,868.597151185375,-3.78999649600887,M,0.4674484735037631
45.0,0.0169435878409445,0.4125172623559371,0.0939414706301321,0.4765976791729862,Lderate,available,moderate,0.337775920048089,343.809772905291,995.601857682399,113.716973447681,Lharvest,1.2185449833475253
46.0,0.0161149991215129,0.3602033149788429,0.0939549039788425,0.5297267819208017,Lderate,available,moderate,0.339398315387454,343.88141718114,845.038421883458,-26.0630103802558,M,0.6990374788265903
47.0,0.0149239741946725,0.3080324348455277,0.0928544318760491,0.5841891590837506,Lderate,available,moderate,0.332017907433704,344.494834412554,660.573072096374,-196.438654485688,M,0.8289407553415756
48.0,0.0157040897365666,0.2772892813738052,0.0919288942164554,0.6150777346731727,Lderate,available,moderate,0.320716726196027,345.814674285507,626.71210859624,-226.565824636075,M,0.9093289425341871
49.0,0.0173521214797537,0.2622670230561464,0.0917671035765371,0.6286137518875626,Lderate,available,moderate,0.310287860302627,347.06849958463,641.659414506841,-211.619703144441,M,0.9481274917512736
50.0,0.0194812904411027,0.2589891268451071,0.0923920392488568,0.6291375434649334,Lderate,available,moderate,0.299420423794275,348.38818292937,644.366852882448,-207.959289781218,M,0.9538269723246806
51.0,0.0219347143952242,0.2649431936228376,0.0936120940031959,0.6195099979787422,Lderate,available,moderate,0.287100360473799,349.927647897743,666.758355827378,-186.062786031292,M,0.9333455020362776
52.0,0.0246334422131676,0.2785958173268024,0.0951628607329127,0.6016078797271172,Lderate,available,moderate,0.276857298862755,351.006650548036,686.930593748324,-166.501906492315,M,0.8920188122662829
53.0,0.0275236422066889,0.2989963138999627,0.0967609659425333,0.576719077950815,Lderate,available,moderate,0.268308707257184,351.796141395371,683.136419409832,-169.133693868634,M,0.8341312982087317
54.0,0.0305557520083063,0.3254853680338178,0.0981259370484367,0.545832942909439,Lderate,available,moderate,0.258780114597766,352.747737139199,673.576450283376,-176.934628101948,M,0.7634659438040801
55.0,0.033675436006862,0.3574777651980071,0.0989942554796165,0.5098525433155143,Lderate,available,moderate,0.249510319936072,353.659455954527,683.358338592769,-167.073881659329,M,0.6837183357484615
56.0,0.0368202477616524,0.3942979190518393,0.0991353263470348,0.4697465068394733,Lderate,available,moderate,0.240986177739929,354.505955025975,689.030937417042,-161.102773252881,M,0.5987203351279821
57.0,0.0399203278466532,0.4350649808004603,0.0983717273791844,0.4266429639737019,M,available,moderate,0.234625137476395,354.956522319241,792.381502856112,-65.900326089003,M,0.5124464239491986
58.0,0.0429026543385888,0.4786379859056859,0.096601232014739,0.3818581277409862,M,available,moderate,0.2317876342333,355.034785508896,837.821701293098,-23.9823200689379,M,0.4288064152383929
59.0,0.0670247188185736,0.5899241286327723,0.0710999965475643,0.2719511560010896,M,spent,moderate,0.241745700592522,357.388681270985,1343.67426831134,437.5,Lharvest,1.2893154381401086
60.0,0.0869288921267073,0.6793621688611541,0.0612375370886489,0.1724714019234897,M,available,moderate,0.259317152868594,361.12737634562,916.093976275806,44.8885765578149,Lharvest,1.3801109350189478
61.0,0.1010959629665193,0.7387354505569456,0.0511218749109659,0.1090467115655691,M,available,moderate,0.255748843658097,361.364540149945,686.297231058769,-164.999274527317,M,0.09298418992148695
62.0,0.1105616486550404,0.7749862163598806,0.0427591306092476,0.0716930043758312,M,available,moderate,0.246964219418319,362.193231798114,714.377318698197,-138.494747272005,M,0.0698233111082547
63.0,0.0523489235031534,0.7369358358205665,0.0624957552626263,0.1482194854136536,M,available,moderate,0.238265516238613,362.984955257458,695.608796466241,-154.831917718325,M,0.0978178995494973
64.0,0.0276831563929556,0.6494340361534678,0.0773636069271927,0.2455192005263836,M,available,moderate,0.22854242791127,363.997545067861,664.51425410294,-182.410577329645,M,0.18992765765942468
