time_s,speed_kmh,throttle_pct,brake,gap_s,active_aero,sector,lap,tyre_life
7044.145,301.9972222222242,99.0,0.0,5.3597128057486945,0.0,1,18,15.0
7045.145,304.0,99.87499999999751,0.0,4.92313868762368,0.0,1,18,15.0
7046.145,301.0,99.0,0.0,4.196285202858154,0.0,1,18,15.0
7047.145,289.2222222222166,99.0,0.0,3.6573050207211777,0.0,1,18,15.0
7048.145,229.39999999993452,7.599999999992724,1.0,3.310977257595308,0.0,2,18,15.0
7049.145,178.00414937758288,11.323651452306601,1.0,3.5087736193097903,0.0,2,18,15.0
7050.145,179.4781250000154,79.42812500005066,0.0,3.9109960369646704,0.0,2,18,15.0
7051.145,207.29166666669605,86.17083333333039,0.0,4.258039335577152,0.0,2,18,15.0
7052.145,228.28571428571985,99.42857142857004,0.0,4.516812855823004,0.0,2,18,15.0
7053.145,248.0,99.0,0.0,4.789791455568657,0.0,2,18,15.0
7054.145,262.00000000000506,99.0,0.0,4.979861845107704,0.0,2,18,15.0
7055.145,273.37500000000176,99.0,0.0,5.1492292357089795,0.0,2,18,15.0
7056.145,283.6156250000066,100.0,0.0,5.307075940595316,0.0,2,18,15.0
7057.145,289.99166666667253,99.0,0.0,5.418434204543167,0.0,2,18,15.0
7058.145,292.0,99.0,0.0,5.574097442470494,0.0,2,18,15.0
7059.145,295.66666666666794,99.83333333333397,0.0,5.68462284581348,0.0,2,18,15.0
7060.145,297.87500000000034,99.0,0.0,5.733393275854046,0.0,2,18,15.0
7061.145,300.333333333335,99.0,0.0,5.471818955422541,0.0,2,18,15.0
7062.145,302.0,99.0,0.0,4.984897384157757,0.0,2,18,15.0
7063.145,302.22499999999803,99.0,0.0,4.368394587583013,0.0,2,18,15.0
7064.145,280.46428571426054,38.396428571249835,1.0,3.925018544143144,0.0,2,18,15.0
7065.145,209.49999999999005,7.250000000004974,1.0,3.972836431087254,0.0,2,18,15.0
7066.145,191.99999999998863,39.500000000019895,0.0,4.248130927969991,0.0,2,18,15.0
7067.145,197.30769230769465,80.11538461539239,0.0,4.590520905423861,0.0,2,18,15.0
7068.145,218.63636363637679,96.81818181818839,0.0,4.888437086157801,0.0,2,18,15.0
7069.145,241.27142857143863,100.0,0.0,5.1963703347680195,0.0,2,18,15.0
7070.145,256.31388888889677,100.0,0.0,5.509892396294372,0.0,2,18,15.0
7071.145,269.5607142857218,100.0,0.0,51.48439965646244,0.0,2,18,15.0
7072.145,282.42857142857326,100.0,0.0,6.040025600924893,0.0,2,18,15.0
7073.145,290.25000000000216,99.0,0.0,6.271986818666979,0.0,2,18,15.0
7074.145,295.0,100.0,0.0,6.477815455054179,0.0,2,18,15.0
7074.945,297.0,99.0,0.0,96.94661294714369,0.0,0,19,16.0
7075.945,301.0,99.86071428571502,0.0,6.968245008691109,0.0,0,19,16.0
7076.945,303.9964285714278,99.0,0.0,7.181290846227678,0.0,0,19,16.0
7077.945,305.71071428571355,99.0,0.0,0.06179848313555802,0.0,0,19,16.0
7078.945,307.88888888888914,99.0,0.0,0.11456445798003705,0.0,0,19,16.0
7079.945,308.0,99.0,0.0,0.2026391404255162,0.0,0,19,16.0
7080.945,310.0,99.0,0.0,0.3256032478765787,0.0,0,19,16.0
7081.945,315.12461059190025,99.0,0.0,0.35305268465785783,0.0,0,19,16.0
